customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,is_charges_outlier,tenure_band,avg_monthly_revenue,charges_delta,clv_estimate,service_count,is_autopay,is_longterm_contract,has_internet,is_fiber,is_senior,is_high_value,gender_Female,gender_Male,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,0,0-12 mo,29.85,0.0,716.4000000000001,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
5575-GNVDE,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,0,25-48 mo,55.5735294117647,1.3764705882352999,1366.8000000000002,3,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
3668-QPYBK,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,0,0-12 mo,54.075,-0.22500000000000142,1292.4,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
7795-CFOCW,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,0,25-48 mo,40.90555555555556,1.3944444444444386,1015.1999999999999,3,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
9237-HQITU,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,0,0-12 mo,75.825,-5.125,1696.8000000000002,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0
9305-CDSKC,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,0,0-12 mo,102.5625,-2.9124999999999943,2391.6000000000004,5,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0
1452-KIOVK,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,0,13-24 mo,88.60909090909091,0.49090909090908497,2138.3999999999996,4,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
6713-OKOMC,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,0,0-12 mo,30.189999999999998,-0.4399999999999977,714.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
7892-POOKP,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,0,25-48 mo,108.78750000000001,-3.9875000000000114,2515.2,6,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0
6388-TABGU,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,0,49+ mo,56.25725806451613,-0.10725806451613096,1347.6,3,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
9763-GRSKD,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,0,13-24 mo,45.18846153846154,4.761538461538464,1198.8000000000002,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
7469-LKBCI,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,0,13-24 mo,20.425,-1.4750000000000014,454.79999999999995,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
8091-TTVAX,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,0,49+ mo,97.95,2.3999999999999915,2408.3999999999996,5,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0
0280-XJGEX,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,0,49+ mo,102.78163265306122,0.9183673469387799,2488.8,6,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
5129-JLPIS,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,0,25-48 mo,107.44200000000001,-1.9420000000000073,2532.0,6,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
3655-SNQYZ,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,0,49+ mo,114.42246376811593,-1.1724637681159322,2718.0,8,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0
8191-XWSZG,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,0,49+ mo,19.672115384615385,0.9778846153846139,495.59999999999997,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
9959-WOFKT,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,0,49+ mo,103.97535211267606,2.7246478873239397,2560.8,6,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
4190-MFLUW,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,0,0-12 mo,52.835,2.365000000000002,1324.8000000000002,3,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
4183-MYFRB,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,0,13-24 mo,88.70952380952382,1.3404761904761813,2161.2,4,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0
8779-QRDMV,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,0,0-12 mo,39.65,0.0,951.5999999999999,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
1680-VDCWW,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,0,0-12 mo,16.854166666666668,2.945833333333333,475.20000000000005,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1066-JKSGK,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,0,0-12 mo,20.15,0.0,483.59999999999997,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
3638-WEABW,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,0,49+ mo,60.432758620689654,-0.5327586206896555,1437.6,4,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
6322-HRPFA,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,0,49+ mo,60.61836734693878,-1.0183673469387813,1430.4,4,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
6865-JZNKO,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,0,25-48 mo,51.019999999999996,4.280000000000001,1327.1999999999998,3,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
6467-CHFZW,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,0,25-48 mo,101.04574468085106,-1.695744680851064,2384.3999999999996,5,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
8665-UTDHZ,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,0,0-12 mo,30.2,0.0,724.8,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
5248-YGIJN,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,0,49+ mo,88.46458333333334,1.7854166666666629,2166.0,8,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
8773-HHUOZ,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,0,13-24 mo,64.3,0.4000000000000057,1552.8000000000002,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
3841-NFECX,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,0,49+ mo,95.30915492957746,1.0408450704225345,2312.3999999999996,6,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0
4929-XIHVW,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,0,0-12 mo,90.825,4.674999999999997,2292.0,4,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0
6827-IEAUQ,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,0,25-48 mo,69.42407407407407,-3.274074074074065,1587.6000000000001,5,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
7310-EGVHZ,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,0-12 mo,20.2,0.0,484.79999999999995,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
3413-BMNZE,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,0,0-12 mo,45.25,0.0,1086.0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
6234-RAAPL,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,0,49+ mo,100.71805555555555,-0.8180555555555458,2397.6000000000004,6,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0
6047-YHPVI,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,0,0-12 mo,63.379999999999995,6.320000000000007,1672.8000000000002,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
6572-ADKRS,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,0,25-48 mo,77.13695652173914,-2.3369565217391397,1795.1999999999998,2,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0
